idx	disp	grange	mradb	mrade	vecs	angle	splits	splo	sm	pres	pabs
40	2 	6 	0.6 	1	64	7	4	1	4	0.2 	0 
41	2 	6 	0.6 	1	64	7	4	1	4	0.2 	0.25 
42	2 	6 	0.6 	1	64	7	4	1	4	0.2 	1
43	2 	6 	0.6 	1	64	7	4	1	4	0.3	0 
44	2 	6 	0.6 	1	64	7	4	1	4	0.3	0.25 
45	2 	6 	0.6 	1	64	7	4	1	4	0.3	1
46	2 	6 	1	1	64	7	4	1	4	0.08 	0 
47	2 	6 	1	1	64	7	4	1	4	0.08 	0.25 
48	2 	6 	1	1	64	7	4	1	4	0.08 	1
49	2 	6 	1	1	64	7	4	1	4	0.2 	0 
50	2 	6 	1	1	64	7	4	1	4	0.2 	0.25 
51	2 	6 	1	1	64	7	4	1	4	0.2 	1
52	2 	6 	1	1	64	7	4	1	4	0.3	0 
53	2 	6 	1	1	64	7	4	1	4	0.3	0.25 
54	2 	6 	1	1	64	7	4	1	4	0.3	1
55	2 	7	0.3 	1	64	7	4	1	4	0.08 	0 
56	2 	7	0.3 	1	64	7	4	1	4	0.08 	0.25 
57	2 	7	0.3 	1	64	7	4	1	4	0.08 	1
58	2 	7	0.3 	1	64	7	4	1	4	0.2 	0 
59	2 	7	0.3 	1	64	7	4	1	4	0.2 	0.25 
60	2 	7	0.3 	1	64	7	4	1	4	0.2 	1
61	2 	7	0.3 	1	64	7	4	1	4	0.3	0 
62	2 	7	0.3 	1	64	7	4	1	4	0.3	0.25 
63	2 	7	0.3 	1	64	7	4	1	4	0.3	1
64	2 	7	0.6 	1	64	7	4	1	4	0.08 	0 
65	2 	7	0.6 	1	64	7	4	1	4	0.08 	0.25 
66	2 	7	0.6 	1	64	7	4	1	4	0.08 	1
67	2 	7	0.6 	1	64	7	4	1	4	0.2 	0 
68	2 	7	0.6 	1	64	7	4	1	4	0.2 	0.25 
69	2 	7	0.6 	1	64	7	4	1	4	0.2 	1
70	2 	7	0.6 	1	64	7	4	1	4	0.3	0 
71	2 	7	0.6 	1	64	7	4	1	4	0.3	0.25 
72	2 	7	0.6 	1	64	7	4	1	4	0.3	1
73	2 	7	1	1	64	7	4	1	4	0.08 	0 
74	2 	7	1	1	64	7	4	1	4	0.08 	0.25 
75	2 	7	1	1	64	7	4	1	4	0.08 	1
76	2 	7	1	1	64	7	4	1	4	0.2 	0 
77	2 	7	1	1	64	7	4	1	4	0.2 	0.25 
78	2 	7	1	1	64	7	4	1	4	0.2 	1
79	2 	7	1	1	64	7	4	1	4	0.3	0 
80	2 	7	1	1	64	7	4	1	4	0.3	0.25 
81	2 	7	1	1	64	7	4	1	4	0.3	1
82	5 	5 	0.3 	1	64	7	4	1	4	0.08 	0 
83	5 	5 	0.3 	1	64	7	4	1	4	0.08 	0.25 
84	5 	5 	0.3 	1	64	7	4	1	4	0.08 	1
85	5 	5 	0.3 	1	64	7	4	1	4	0.2 	0 
86	5 	5 	0.3 	1	64	7	4	1	4	0.2 	0.25 
87	5 	5 	0.3 	1	64	7	4	1	4	0.2 	1
88	5 	5 	0.3 	1	64	7	4	1	4	0.3	0 
89	5 	5 	0.3 	1	64	7	4	1	4	0.3	0.25 
90	5 	5 	0.3 	1	64	7	4	1	4	0.3	1
91	5 	5 	0.6 	1	64	7	4	1	4	0.08 	0 
92	5 	5 	0.6 	1	64	7	4	1	4	0.08 	0.25 
93	5 	5 	0.6 	1	64	7	4	1	4	0.08 	1
94	5 	5 	0.6 	1	64	7	4	1	4	0.2 	0 
95	5 	5 	0.6 	1	64	7	4	1	4	0.2 	0.25 
96	5 	5 	0.6 	1	64	7	4	1	4	0.2 	1
97	5 	5 	0.6 	1	64	7	4	1	4	0.3	0 
98	5 	5 	0.6 	1	64	7	4	1	4	0.3	0.25 
99	5 	5 	0.6 	1	64	7	4	1	4	0.3	1
100	5 	5 	1	1	64	7	4	1	4	0.08 	0 
101	5 	5 	1	1	64	7	4	1	4	0.08 	0.25 
102	5 	5 	1	1	64	7	4	1	4	0.08 	1
103	5 	5 	1	1	64	7	4	1	4	0.2 	0 
104	5 	5 	1	1	64	7	4	1	4	0.2 	0.25 
105	5 	5 	1	1	64	7	4	1	4	0.2 	1
106	5 	5 	1	1	64	7	4	1	4	0.3	0 
107	5 	5 	1	1	64	7	4	1	4	0.3	0.25 
108	5 	5 	1	1	64	7	4	1	4	0.3	1
109	5 	6 	0.3 	1	64	7	4	1	4	0.08 	0 
110	5 	6 	0.3 	1	64	7	4	1	4	0.08 	0.25 
111	5 	6 	0.3 	1	64	7	4	1	4	0.08 	1
112	5 	6 	0.3 	1	64	7	4	1	4	0.2 	0 
113	5 	6 	0.3 	1	64	7	4	1	4	0.2 	0.25 
114	5 	6 	0.3 	1	64	7	4	1	4	0.2 	1
115	5 	6 	0.3 	1	64	7	4	1	4	0.3	0 
116	5 	6 	0.3 	1	64	7	4	1	4	0.3	0.25 
117	5 	6 	0.3 	1	64	7	4	1	4	0.3	1
118	5 	6 	0.6 	1	64	7	4	1	4	0.08 	0 
119	5 	6 	0.6 	1	64	7	4	1	4	0.08 	0.25 
120	5 	6 	0.6 	1	64	7	4	1	4	0.08 	1
121	5 	6 	0.6 	1	64	7	4	1	4	0.2 	0 
122	5 	6 	0.6 	1	64	7	4	1	4	0.2 	0.25 
123	5 	6 	0.6 	1	64	7	4	1	4	0.2 	1
124	5 	6 	0.6 	1	64	7	4	1	4	0.3	0 
125	5 	6 	0.6 	1	64	7	4	1	4	0.3	0.25 
126	5 	6 	0.6 	1	64	7	4	1	4	0.3	1
127	5 	6 	1	1	64	7	4	1	4	0.08 	0 
128	5 	6 	1	1	64	7	4	1	4	0.08 	0.25 
129	5 	6 	1	1	64	7	4	1	4	0.08 	1
130	5 	6 	1	1	64	7	4	1	4	0.2 	0 
131	5 	6 	1	1	64	7	4	1	4	0.2 	0.25 
132	5 	6 	1	1	64	7	4	1	4	0.2 	1
133	5 	6 	1	1	64	7	4	1	4	0.3	0 
134	5 	6 	1	1	64	7	4	1	4	0.3	0.25 
135	5 	6 	1	1	64	7	4	1	4	0.3	1
136	5 	7	0.3 	1	64	7	4	1	4	0.08 	0 
137	5 	7	0.3 	1	64	7	4	1	4	0.08 	0.25 
138	5 	7	0.3 	1	64	7	4	1	4	0.08 	1
139	5 	7	0.3 	1	64	7	4	1	4	0.2 	0 
140	5 	7	0.3 	1	64	7	4	1	4	0.2 	0.25 
141	5 	7	0.3 	1	64	7	4	1	4	0.2 	1
142	5 	7	0.3 	1	64	7	4	1	4	0.3	0 
143	5 	7	0.3 	1	64	7	4	1	4	0.3	0.25 
144	5 	7	0.3 	1	64	7	4	1	4	0.3	1
145	5 	7	0.6 	1	64	7	4	1	4	0.08 	0 
146	5 	7	0.6 	1	64	7	4	1	4	0.08 	0.25 
147	5 	7	0.6 	1	64	7	4	1	4	0.08 	1
148	5 	7	0.6 	1	64	7	4	1	4	0.2 	0 
149	5 	7	0.6 	1	64	7	4	1	4	0.2 	0.25 
150	5 	7	0.6 	1	64	7	4	1	4	0.2 	1
151	5 	7	0.6 	1	64	7	4	1	4	0.3	0 
152	5 	7	0.6 	1	64	7	4	1	4	0.3	0.25 
153	5 	7	0.6 	1	64	7	4	1	4	0.3	1
154	5 	7	1	1	64	7	4	1	4	0.08 	0 
155	5 	7	1	1	64	7	4	1	4	0.08 	0.25 
156	5 	7	1	1	64	7	4	1	4	0.08 	1
157	5 	7	1	1	64	7	4	1	4	0.2 	0 
158	5 	7	1	1	64	7	4	1	4	0.2 	0.25 
159	5 	7	1	1	64	7	4	1	4	0.2 	1
160	5 	7	1	1	64	7	4	1	4	0.3	0 
161	5 	7	1	1	64	7	4	1	4	0.3	0.25 
162	5 	7	1	1	64	7	4	1	4	0.3	1
163	8	5 	0.3 	1	64	7	4	1	4	0.08 	0 
164	8	5 	0.3 	1	64	7	4	1	4	0.08 	0.25 
165	8	5 	0.3 	1	64	7	4	1	4	0.08 	1
166	8	5 	0.3 	1	64	7	4	1	4	0.2 	0 
167	8	5 	0.3 	1	64	7	4	1	4	0.2 	0.25 
168	8	5 	0.3 	1	64	7	4	1	4	0.2 	1
169	8	5 	0.3 	1	64	7	4	1	4	0.3	0 
170	8	5 	0.3 	1	64	7	4	1	4	0.3	0.25 
171	8	5 	0.3 	1	64	7	4	1	4	0.3	1
172	8	5 	0.6 	1	64	7	4	1	4	0.08 	0 
173	8	5 	0.6 	1	64	7	4	1	4	0.08 	0.25 
174	8	5 	0.6 	1	64	7	4	1	4	0.08 	1
175	8	5 	0.6 	1	64	7	4	1	4	0.2 	0 
176	8	5 	0.6 	1	64	7	4	1	4	0.2 	0.25 
177	8	5 	0.6 	1	64	7	4	1	4	0.2 	1
178	8	5 	0.6 	1	64	7	4	1	4	0.3	0 
179	8	5 	0.6 	1	64	7	4	1	4	0.3	0.25 
180	8	5 	0.6 	1	64	7	4	1	4	0.3	1
181	8	5 	1	1	64	7	4	1	4	0.08 	0 
182	8	5 	1	1	64	7	4	1	4	0.08 	0.25 
183	8	5 	1	1	64	7	4	1	4	0.08 	1
184	8	5 	1	1	64	7	4	1	4	0.2 	0 
185	8	5 	1	1	64	7	4	1	4	0.2 	0.25 
186	8	5 	1	1	64	7	4	1	4	0.2 	1
187	8	5 	1	1	64	7	4	1	4	0.3	0 
188	8	5 	1	1	64	7	4	1	4	0.3	0.25 
189	8	5 	1	1	64	7	4	1	4	0.3	1
190	8	6 	0.3 	1	64	7	4	1	4	0.08 	0 
191	8	6 	0.3 	1	64	7	4	1	4	0.08 	0.25 
192	8	6 	0.3 	1	64	7	4	1	4	0.08 	1
193	8	6 	0.3 	1	64	7	4	1	4	0.2 	0 
194	8	6 	0.3 	1	64	7	4	1	4	0.2 	0.25 
195	8	6 	0.3 	1	64	7	4	1	4	0.2 	1
196	8	6 	0.3 	1	64	7	4	1	4	0.3	0 
197	8	6 	0.3 	1	64	7	4	1	4	0.3	0.25 
198	8	6 	0.3 	1	64	7	4	1	4	0.3	1
199	8	6 	0.6 	1	64	7	4	1	4	0.08 	0 
200	8	6 	0.6 	1	64	7	4	1	4	0.08 	0.25 
201	8	6 	0.6 	1	64	7	4	1	4	0.08 	1
202	8	6 	0.6 	1	64	7	4	1	4	0.2 	0 
203	8	6 	0.6 	1	64	7	4	1	4	0.2 	0.25 
204	8	6 	0.6 	1	64	7	4	1	4	0.2 	1
205	8	6 	0.6 	1	64	7	4	1	4	0.3	0 
206	8	6 	0.6 	1	64	7	4	1	4	0.3	0.25 
207	8	6 	0.6 	1	64	7	4	1	4	0.3	1
208	8	6 	1	1	64	7	4	1	4	0.08 	0 
209	8	6 	1	1	64	7	4	1	4	0.08 	0.25 
210	8	6 	1	1	64	7	4	1	4	0.08 	1
211	8	6 	1	1	64	7	4	1	4	0.2 	0 
212	8	6 	1	1	64	7	4	1	4	0.2 	0.25 
213	8	6 	1	1	64	7	4	1	4	0.2 	1
214	8	6 	1	1	64	7	4	1	4	0.3	0 
215	8	6 	1	1	64	7	4	1	4	0.3	0.25 
216	8	6 	1	1	64	7	4	1	4	0.3	1
217	8	7	0.3 	1	64	7	4	1	4	0.08 	0 
218	8	7	0.3 	1	64	7	4	1	4	0.08 	0.25 
219	8	7	0.3 	1	64	7	4	1	4	0.08 	1
220	8	7	0.3 	1	64	7	4	1	4	0.2 	0 
221	8	7	0.3 	1	64	7	4	1	4	0.2 	0.25 
222	8	7	0.3 	1	64	7	4	1	4	0.2 	1
223	8	7	0.3 	1	64	7	4	1	4	0.3	0 
224	8	7	0.3 	1	64	7	4	1	4	0.3	0.25 
225	8	7	0.3 	1	64	7	4	1	4	0.3	1
226	8	7	0.6 	1	64	7	4	1	4	0.08 	0 
227	8	7	0.6 	1	64	7	4	1	4	0.08 	0.25 
228	8	7	0.6 	1	64	7	4	1	4	0.08 	1
229	8	7	0.6 	1	64	7	4	1	4	0.2 	0 
230	8	7	0.6 	1	64	7	4	1	4	0.2 	0.25 
231	8	7	0.6 	1	64	7	4	1	4	0.2 	1
232	8	7	0.6 	1	64	7	4	1	4	0.3	0 
233	8	7	0.6 	1	64	7	4	1	4	0.3	0.25 
234	8	7	0.6 	1	64	7	4	1	4	0.3	1
235	8	7	1	1	64	7	4	1	4	0.08 	0 
236	8	7	1	1	64	7	4	1	4	0.08 	0.25 
237	8	7	1	1	64	7	4	1	4	0.08 	1
238	8	7	1	1	64	7	4	1	4	0.2 	0 
239	8	7	1	1	64	7	4	1	4	0.2 	0.25 
240	8	7	1	1	64	7	4	1	4	0.2 	1
241	8	7	1	1	64	7	4	1	4	0.3	0 
242	8	7	1	1	64	7	4	1	4	0.3	0.25 
243	8	7	1	1	64	7	4	1	4	0.3	1
